Echantillon,'Type de roche',CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,As,Cd,Cr,Ni,Sc,V,Ba,Sr,Li,' Rb ',Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
4-02BD304.1.3A1,'R.carbonatees & R.carbonatees impures',58.55,0.04,0.001,0.05,0.01,24.52,34.03,0.03,0.02,0.05,72,2,2930.5,0,32.111481,8.955172,2.7,16.838983,2.046939,0.8,5.6,42.8,1.2,0.4,2.2,0.6,0.1,0,1.2,1,0.2,0.9,0.2,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0,1.6
17-02BD316.1.3A,'R.carbonatees & R.carbonatees impures',55.92,0.06,0.001,0.08,0.02,23.54,32.38,0.02,0.02,0.01,89,6,2930.5,1,32.111481,8.955172,5.7,2.1,0.3,18.1,15.9,61.7,6.108333,0.5,3.4,1.2,0.2,0,1.2,1.2,0.2,0.9,0.2,0.1,0.3,0,0.3,0.1,0.3,0,0.2,0,0,0,0.1,2.4
37-02BD333.2.3B,'R.carbonatees & R.carbonatees impures',54.33,0.16,0.01,0.31,0.05,22.64,31.69,0.03,0.02,0.21,258,7,8,2,6.9,8.955172,3.7,16.838983,0.2,4,15.1,69.9,1.5,0.5,6.5,2.8,0.3,0.1,3,2.5,0.7,2.8,0.5,0.1,0.6,0.1,0.6,0.1,0.5,0.1,0.2,0,0.1,0,0.2,4.6
39-02BD333.4.3D,'R.carbonatees & R.carbonatees impures',53.28,0.04,0.001,0.05,0.01,22.16,31.12,0.03,0.01,0.05,139,6,2930.5,4,32.111481,8.955172,2.9,16.838983,2.046939,0.7,3.8,48.8,6.108333,0.1,2.3,1.1,0.2,0,1.2,1,0.3,1,0.2,0.1,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,1.3
48-02BD341.1.3B,'R.carbonatees & R.carbonatees impures',52.29,0.08,0.001,0.15,0.02,16.45,35.84,0.03,0.06,10.41,754,5,4,2,32.111481,8.955172,5,4.4,2.046939,6.1,13.9,120.9,4.6,2.5,24.5,1.7,0.2,0.1,12.4,10.2,1.9,8.6,1.3,0.4,2.1,0.3,2.3,0.6,1.8,0.2,1,0.1,0,0,0,13.5
47-02BD340.1.3B,'R.carbonatees & R.carbonatees impures',51.88,0.08,0.002,0.14,0.03,21.42,30.46,0.03,0.04,0.23,341,4,2930.5,2,32.111481,8.955172,3.3,3.4,2.046939,5.3,28.5,63.8,6.108333,0.5,4.2,2.8,0.4,0,2,1.9,0.4,1.9,0.4,0.1,0.5,0.1,0.5,0.1,0.3,0,0.2,0,0,0,0.1,2.8
49-02RM601.1.3A,'R.carbonatees & R.carbonatees impures',51.54,0.04,0.001,0.08,0.02,21.52,30.03,0.02,0.01,0.01,110,14,2930.5,2,32.111481,8.955172,3.9,3.8,2.046939,2.3,3.1,58,6.108333,0.1,1.7,1.6,0.5,0,1,0.8,0.2,0.7,0.1,0,0.1,0,0.2,0,0.1,0,0.1,0,0,0,0,1.5
85-02RM625.2.3A,'R.carbonatees & R.carbonatees impures',51.53,0.14,0.005,0.26,0.03,21.54,29.99,0.03,0.05,0.08,728,6,2930.5,2,32.111481,8.955172,3,2.1,2.046939,1.1,19,73,1.5,1,3.9,2,0.5,0.2,2,2.3,0.5,2,0.4,0.1,0.5,0.1,0.5,0.1,0.3,0,0.2,0,0,0.1,0.1,3.4
109-02RM637.1.3C,'R.carbonatees & R.carbonatees impures',51.47,0.09,0.001,0.07,0.01,21.23,30.23,0.05,0.02,0.02,60,5,2930.5,1,32.111481,8.955172,4.5,16.838983,0.1,2.4,6.1,69.3,1.4,0.4,2.9,1.2,0.2,0,1.7,1.6,0.4,1.6,0.3,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0,0.1,1.5
114-02YH012.1.3C,'R.carbonatees & R.carbonatees impures',51.29,0.05,0,0.24,0.05,21.12,30.17,0.03,0.03,0.05,449,7,2930.5,2,32.111481,8.955172,2.9,1.7,2.046939,2.6,5,59,1.3,0.7,3.7,0.6,0.5,0,1.5,1.6,0.4,1.5,0.3,0.1,0.4,0,0.4,0.1,0.3,0,0.1,0,0,0.1,0,1.7
128-02YH022.1.3A,'R.carbonatees & R.carbonatees impures',51.28,0.02,0.001,0.3,0.05,21.43,29.84,0.02,0,0,316,3,5,2,32.111481,8.955172,1.8,16.838983,2.046939,1.3,4.2,63.7,6.108333,0.1,2.5,0.4,0.1,0,1.3,1,0.3,0.8,0.2,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,2.3
135-02YH026.2.3C,'R.carbonatees & R.carbonatees impures',51.22,0.07,0.001,0.16,0.03,21.53,29.69,0.03,0.01,0.12,56,5,2930.5,2,32.111481,8.955172,15.6,5.4,2.046939,3.5,3.8,70,0.9,0.3,3.5,1.4,0.5,0,1.5,1.5,0.3,1.3,0.2,0.1,0.3,0,0.3,0.1,0.3,0,0.1,0,0,0.1,0,2.9
138-02YH029.1.3A,'R.carbonatees & R.carbonatees impures',51.06,0.03,0,0.04,0.01,21.25,29.81,0.03,0.01,0.04,119,2,2930.5,1,32.111481,8.955172,3.6,1.7,2.046939,0.8,4.3,64.8,6.108333,0.1,2.1,0.9,0.4,0,1.2,0.9,0.2,0.9,0.2,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,1.5
3-02BD302.2.3A,'R.carbonatees & R.carbonatees impures',50.93,0.08,0.002,0.4,0.04,20.8,30.13,0.03,0.05,1.19,841,4,2930.5,5,32.111481,8.955172,5.9,3.3,2.046939,5.5,5.9,82.4,4.4,1.9,9.3,1.4,0.5,0.1,4.1,4.3,1,4.8,0.8,0.2,1.1,0.1,1,0.2,0.7,0.1,0.3,0,0,0.1,0.1,5.4
19-02BD320.1.3B,'R.carbonatees & R.carbonatees impures',50.86,0.04,0.001,0.07,0.02,21.07,29.79,0.03,0.01,0.04,114,4,2930.5,2,32.111481,8.955172,3.1,1.6,2.046939,0.9,5.4,65.6,6.108333,0.2,2.7,1.3,1,0,1.7,1.4,0.3,1.4,0.2,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0.1,0.1,1.6
21-02BD327.1.3A,'R.carbonatees & R.carbonatees impures',50.74,0.04,0.001,0.06,0.01,21.3,29.44,0.03,0.02,0.05,357,123,2930.5,3,32.111481,8.955172,3.8,2.9,2.046939,1.3,4.7,54,1.7,0.2,2.5,0.7,0.2,0,1.1,1,0.3,1.1,0.2,0.1,0.2,0,0.3,0.1,0.2,0,0.1,0,0,0,0,1.3
28-02BD329.4.3D1,'R.carbonatees & R.carbonatees impures',50.69,0.26,0.01,0.37,0.01,21.45,29.24,0.03,0.14,0.19,177,6,2930.5,14,32.111481,8.955172,5.9,6.5,0.3,2.5,11.1,80.7,9,6,7.1,3.6,0.6,0.3,3.7,3.8,0.8,4,0.7,0.2,0.9,0.1,0.8,0.2,0.6,0.1,0.3,0,0.1,0,0.3,3.7
32-02BD331.1.3F,'R.carbonatees & R.carbonatees impures',50.36,0.05,0.001,0.09,0.03,21.08,29.28,0.03,0.01,0.02,102,3,2930.5,1,32.111481,8.955172,2,1.4,2.046939,2.7,5.9,71.3,0.8,0.2,2.8,0.7,0.5,0,1.3,1.1,0.3,1.1,0.2,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0.1,0,1.2
33-02BD331.2.3E,'R.carbonatees & R.carbonatees impures',50.31,0.02,0.001,0.06,0.01,21.24,29.06,0.02,0,0.01,80,4,2930.5,1,3.5,8.955172,2.4,2.2,0.2,1,3.5,49.7,6.108333,0.1,1,0.7,0.2,0,0.7,0.6,0.2,0.4,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0.9
35-02BD332.1.3A,'R.carbonatees & R.carbonatees impures',50.12,0.11,0.003,0.22,0.03,21.08,29.04,0.03,0.04,0.07,401,5,2930.5,2,32.111481,8.955172,5.9,2.7,2.046939,1.8,10.2,72.3,2.7,1.2,4.1,1.6,0.6,0.2,1.8,2.2,0.5,2,0.4,0.1,0.5,0.1,0.5,0.1,0.3,0,0.2,0,0,0.1,0.1,3.7
42-02BD337.1.3C,'R.carbonatees & R.carbonatees impures',49.95,0.16,0.005,0.15,0.03,20.98,28.98,0.04,0.09,0.01,227,3,7,1,32.111481,8.955172,3.4,16.838983,2.046939,2.3,21.1,71.7,0.7,1.9,2.5,2.6,0.3,0.1,1.5,1.5,0.3,1.1,0.2,0.1,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0.1,2.1
52-02RM601.4.3A,'R.carbonatees & R.carbonatees impures',49.9,0.05,0.003,0.09,0.02,20.66,29.24,0.03,0.04,0.08,107,9,11,3,32.111481,8.955172,2.9,1.6,2.046939,3.9,7.2,103.2,5.6,1.5,4.6,1.2,0.3,0.1,1.7,1.9,0.4,1.9,0.4,0.1,0.5,0.1,0.5,0.1,0.4,0,0.2,0,0,0,0.1,1.9
54-02RM602.2.3B,'R.carbonatees & R.carbonatees impures',49.78,0.06,0.001,0.1,0.02,20.81,28.97,0.03,0.04,0.08,207,3,2930.5,1,32.111481,8.955172,4.1,16.838983,2.046939,2.7,7.1,54.6,1.6,0.8,3.1,1.2,0.4,0,2.1,1.9,0.4,1.6,0.3,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0,0.1,3
