Echantillon,'Type de roche',CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu
4-02BD304.1.3A1,'R.carbonatees & R.carbonatees impures',58.55,0.05,24.52,34.03,72,2,2930.5,0
17-02BD316.1.3A,'R.carbonatees & R.carbonatees impures',55.92,0.08,23.54,32.38,89,6,2930.5,1
37-02BD333.2.3B,'R.carbonatees & R.carbonatees impures',54.33,0.31,22.64,31.69,258,7,8,2
39-02BD333.4.3D,'R.carbonatees & R.carbonatees impures',53.28,0.05,22.16,31.12,139,6,2930.5,4
48-02BD341.1.3B,'R.carbonatees & R.carbonatees impures',52.29,0.15,16.45,35.84,754,5,4,2
47-02BD340.1.3B,'R.carbonatees & R.carbonatees impures',51.88,0.14,21.42,30.46,341,4,2930.5,2
49-02RM601.1.3A,'R.carbonatees & R.carbonatees impures',51.54,0.08,21.52,30.03,110,14,2930.5,2
85-02RM625.2.3A,'R.carbonatees & R.carbonatees impures',51.53,0.26,21.54,29.99,728,6,2930.5,2
109-02RM637.1.3C,'R.carbonatees & R.carbonatees impures',51.47,0.07,21.23,30.23,60,5,2930.5,1
114-02YH012.1.3C,'R.carbonatees & R.carbonatees impures',51.29,0.24,21.12,30.17,449,7,2930.5,2
128-02YH022.1.3A,'R.carbonatees & R.carbonatees impures',51.28,0.3,21.43,29.84,316,3,5,2
135-02YH026.2.3C,'R.carbonatees & R.carbonatees impures',51.22,0.16,21.53,29.69,56,5,2930.5,2
138-02YH029.1.3A,'R.carbonatees & R.carbonatees impures',51.06,0.04,21.25,29.81,119,2,2930.5,1
3-02BD302.2.3A,'R.carbonatees & R.carbonatees impures',50.93,0.4,20.8,30.13,841,4,2930.5,5
19-02BD320.1.3B,'R.carbonatees & R.carbonatees impures',50.86,0.07,21.07,29.79,114,4,2930.5,2
21-02BD327.1.3A,'R.carbonatees & R.carbonatees impures',50.74,0.06,21.3,29.44,357,123,2930.5,3
28-02BD329.4.3D1,'R.carbonatees & R.carbonatees impures',50.69,0.37,21.45,29.24,177,6,2930.5,14
32-02BD331.1.3F,'R.carbonatees & R.carbonatees impures',50.36,0.09,21.08,29.28,102,3,2930.5,1
33-02BD331.2.3E,'R.carbonatees & R.carbonatees impures',50.31,0.06,21.24,29.06,80,4,2930.5,1
35-02BD332.1.3A,'R.carbonatees & R.carbonatees impures',50.12,0.22,21.08,29.04,401,5,2930.5,2
42-02BD337.1.3C,'R.carbonatees & R.carbonatees impures',49.95,0.15,20.98,28.98,227,3,7,1
52-02RM601.4.3A,'R.carbonatees & R.carbonatees impures',49.9,0.09,20.66,29.24,107,9,11,3
54-02RM602.2.3B,'R.carbonatees & R.carbonatees impures',49.78,0.1,20.81,28.97,207,3,2930.5,1
55-02RM602.3.3D,'R.carbonatees & R.carbonatees impures',49.73,0.07,20.56,29.17,194,4,5,5
58-02RM602.6.3C,'R.carbonatees & R.carbonatees impures',49.67,0.21,20.66,29.01,421,3,4,2
59-02RM602.7.3A,'R.carbonatees & R.carbonatees impures',49.57,0.06,20.5,29.06,166,1,2930.5,2
62-02RM605.2.5C,'R.carbonatees & R.carbonatees impures',49.55,0.41,20.67,28.88,1463,37,2930.5,3
65-02RM605.5.3A,'R.carbonatees & R.carbonatees impures',49.18,0.07,20.74,28.44,38,3,2930.5,1
67-02RM605.7.3A,'R.carbonatees & R.carbonatees impures',49.13,0.27,20.69,28.45,300,3,7,2
72-02RM612.1.3B,'R.carbonatees & R.carbonatees impures',48.65,0.13,20.15,28.5,737,7,5,7
